Race Name,Distance,Street,Road,Paved,Asphalt,Path,Cycleway,Unpaved,State Road,Cobblestones,Unknown,Compacted Gravel,Off-grid (unknown),Singletrack,Access Road,Alpine,Net Gain,Lowest Elevation,Highest Elevation,Vertical Gain,Downhill
2022 A Travers les Hauts de France,117.44,2.44,115,11.5,106,,,,,,,,,,,,50,41,144,900,850
2022 AG Tour de la Semois Stage 1,110.56,1.56,109,14.4,96.1,,,,,,,,,,,,-20,167,425,1660,1680
2022 AG Tour de la Semois Stage 2,113.26,5.55,101,11.6,101,2.68,4.03,1.02,,,,,,,,,50,236,447,1760,1710
2022 Ain Bugey Valromey Tour Stage 1,104.283,,88.5,3.45,101,,0.983,,14.8,,,,,,,,40,208,409,1110,1070
2022 Ain Bugey Valromey Tour Stage 2,98.06,,96.1,,98,,,,1.96,,,,,,,,20,200,415,950,930
2022 Ain Bugey Valromey Tour Stage 3,92.939,0.209,83,,93,,,,9.73,,,,,,,,20,197,900,1120,1100
2022 Ain Bugey Valromey Tour Stage 4,94.4,,94.4,3.7,90.8,,,,,,,,,,,,-90,300,1071,1940,2030
2022 Ain Bugey Valromey Tour Stage 5,102.43,,99.9,1.5,101,,,,2.53,,,,,,,,530,247,1117,2430,1900
2022 Aubel-Thimister-Stavelot Stage 1,96.82,1.28,90.6,7.51,89.4,,,,4.94,,,,,,,,-30,88,341,1090,1120
2022 Aubel-Thimister-Stavelot Stage 2-1,8.88,,8.88,6.21,2.67,,,,,,,,,,,,-10,230,264,90,100
2022 Aubel-Thimister-Stavelot Stage 2-2,92.94,6.74,72.3,12.1,80.4,,,,13.9,0.351,,,,,,,-50,107,351,1130,1180
2022 Aubel-Thimister-Stavelot Stage 3,98.27,1.87,74.6,10.4,86.7,,3.4,,18.4,1.04,,,,,,,,218,542,2040,2040
2022 Baloise Ladies Tour Prologue,4.153,,0.113,,4.15,1.57,2.47,,,,,,,,,,,,8,,
2022 Baloise Ladies Tour Stage 1,128.1,13.4,59,50.5,72.9,,54.6,,1.1,4.67,,,,,,,,6,73,390,390
2022 Baloise Ladies Tour Stage 2,114.624,12.1,61.5,50.7,63.5,,40.8,,0.224,0.364,,,,,,,-10,24,100,860,870
2022 Baloise Ladies Tour Stage 3-1,83.244,5.83,69.2,21.1,61.2,,7.82,,0.394,,0.272,0.594,,,,,-10,,5,80,90
2022 Baloise Ladies Tour Stage 3-2,15.6,,12.4,0.799,14.6,,3.2,,,0.2,,,,,,,,,5,20,20
2022 Baloise Ladies Tour Stage 4,119.796,13.2,78.2,25.5,91.6,0.396,28,,,2.69,,,,,,,,5,12,180,180
2022 Baltic Chain Tour Stage 1,156.72,1.18,6.54,0.654,156,,,,149,,,,,,,,,46,123,420,420
2022 Baltic Chain Tour Stage 2,147.371,0.262,41.9,,141,0.209,,1.05,105,,0.213,5.24,,,,,90,,111,620,530
2022 Baltic Chain Tour Stage 3,186.58,6.38,163,6.38,180,,4.3,,12.9,,,,,,,,10,33,152,1030,1020
2022 Baltic Chain Tour Stage 4,206.962,3.44,182,1.75,205,0.202,17.3,,4.02,,,,,,,,-80,10,163,730,810
2022 Belgrade Trophy Prologue,3.89,,3.89,,3.9,,,,,,,,,,,,,73,74,10,10
2022 Belgrade Trophy Stage 1,78.69,,66.1,7.91,69.7,3.2,8.37,,,,1.05,,1.02,,,,,73,74,240,240
2022 BEMER Cyclassics,204.33,19.3,102,52.8,146,1.39,68,1.16,9.57,0.828,4.17,0.361,4.07,0.643,,,20,1,75,1020,1000
2022 Binche - Chimay - Binche (Memorial Frank Vandenbroucke),201.54,6.14,84.7,17.2,181,,12,,98.7,3.03,0.184,,,,,,-50,68,290,1790,1840
2022 Binche - Chimay - Binche pour Dames,117.84,3.32,69,11.7,104,,3.82,,41.7,1.76,0.111,,,,,,-150,69,290,980,1130
2022 Bizkaikoloreak Stage 1,65.586,0.256,46,2.69,61.7,1.23,,,18.1,,1.23,,,,,,10,117,378,690,680
2022 Bizkaikoloreak Stage 2,70.735,2.43,32.2,8.12,62.5,,0.805,,35.3,0.116,,,,,,,,73,392,850,850
2022 Bretagne Classic - Ouest-France,255.37,4.87,237,77.7,178,,1.2,,12.3,,,,,,,,,5,248,2630,2630
2022 Ceratizit Challenge by La Vuelta Stage 1,19.91,,8.21,,19.9,,,,11.7,,,,,,,,,,39,170,170
2022 Ceratizit Challenge by La Vuelta Stage 2,106.1,,93.9,,106,,,,12.2,,,,,,,,-20,2,440,2130,2150
2022 Ceratizit Challenge by La Vuelta Stage 3,96.006,,5.95,,95.8,,,,89.9,,0.156,,0.156,,,,880,23,994,1710,830
2022 Ceratizit Challenge by La Vuelta Stage 4,159.306,2.71,131,1.15,155,0.296,,0.296,25.3,1.25,,1.67,,,,,250,721,1027,1580,1330
2022 Ceratizit Challenge by La Vuelta Stage 5,92.661,0.418,18.7,,80.8,0.343,24.2,,37.2,,11.8,,11.8,,,,,631,690,990,990
2022 Challenge du Prince - Trophee de l'Anniversaire,121.541,0.177,57.9,,121,,,,63.2,,0.264,,0.264,,,,-280,3,1088,1160,1440
2022 Challenge du Prince - Trophee de la Maison Royale,130.76,,76.8,,131,,2.06,,51.9,,,,,,,,-70,3,586,1290,1360
2022 Challenge du Prince - Trophee Princer,124.94,,,,123,,,,123,,1.94,,1.94,,,,-220,14,331,550,770
2022 Chrono des Nations,46.215,0.713,44.7,5.27,40.9,,0.802,,,,,,,,,,10,69,150,320,310
2022 CIC-Tour Feminin International des Pyrenees Stage 1-1,25.119,0.666,20.6,3.25,21.7,0.191,3.32,,0.342,,0.306,,,,,,-40,106,162,90,130
2022 CIC-Tour Feminin International des Pyrenees Stage 1-2,76.082,0.911,65.4,,75.2,,3.14,,5.78,,0.851,,0.851,,,,,148,425,1080,1080
2022 CIC-Tour Feminin International des Pyrenees Stage 2,106.776,0.127,95.6,,107,,0.249,,10.8,,,,,,,,990,387,1472,2310,1320
2022 CIC-Tour Feminin International des Pyrenees Stage 3,115.19,0.141,111,0.141,115,,0.339,,3.71,,,,,,,,-10,368,903,2120,2130
2022 Circuit Franco-Belge,176.74,3.64,87.7,37.6,138,,54.1,0.139,31.3,0.519,,,,,,,110,19,150,1840,1730
2022 Circuito de Getxo - Memorial Hermanos Otxoa,201.347,29.9,77.8,22.2,179,5.97,10.7,,76.8,,0.177,,0.177,,,,60,1,373,2400,2340
2022 Classic Lorient Agglomeration - Trophee Ceratizit,160.14,1.4,154,65,93.8,1.83,2.91,2.01,,,,,,0.781,,,,,158,1640,1640
2022 Classique Paris-Chauny,198.25,3.25,181,10.4,188,,1.04,,12.7,,0.26,,0.26,,,,-20,35,205,2070,2090
2022 Commonwealth Games - ITT,37.773,0.812,12.2,5.63,31.2,0.642,1.96,,21.7,0.104,0.816,,0.459,,,,,82,230,490,490
2022 Commonwealth Games,160.77,3.72,43.4,13.1,146,4.82,29.8,,78.1,0.456,0.995,,,,0.93,,,49,93,970,970
2022 Coppa Agostoni - Giro delle Brianze,194,4.27,187,35.8,158,,1.99,,0.632,,,,,,0.108,,-10,187,539,3310,3320
2022 Coppa Bernocchi - GP BPM,189.085,9.86,164,21.9,167,,1.12,,13.9,0.158,0.205,,0.205,,,,-10,174,392,1740,1750
2022 Coppa Sabatini - Gran Premio citta di Peccioli,202.77,2.11,155,29.7,172,,,,44.6,,1.06,,1.06,,,,-10,34,209,2390,2400
2022 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1,92.15,15.3,65.9,7.29,84.8,,8.07,,2.88,0.12,,,,,,,10,237,317,470,460
2022 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2,124.158,2.9,120,4.91,119,0.43,0.479,,,0.281,0.349,,0.349,,,,-50,251,364,620,670
2022 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3,205.467,11.7,186,4.87,199,1.07,,,6.2,1.4,0.527,,0.497,,,,-10,214,755,2140,2150
2022 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4,139.792,5.81,127,1.99,135,2.37,0.69,0.152,3.38,1.26,1.67,,0.368,,0.174,,-10,143,254,500,510
2022 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 5,198.655,5.26,172,6.75,188,2.8,7.53,2.15,10.7,0.192,1.07,,0.365,,,,-30,166,330,870,900
2022 Cro Race Stage 1,223.897,3.46,35.1,0.251,223,0.437,14.9,0.29,170,,0.392,,,,,,70,83,275,670,600
2022 Cro Race Stage 2,162.344,2.53,0.814,0.484,162,,,,159,,,,,,,,-450,,764,1140,1590
2022 Cro Race Stage 3,157.21,2.81,25.6,1.33,133,3.1,,2.56,106,,20.7,,19.7,,,,-190,,399,1550,1740
2022 Cro Race Stage 4,221.01,7.07,19.1,3.05,218,,2.84,,192,0.109,,,,,,,-30,,364,2420,2450
2022 Cro Race Stage 5,154.564,0.133,108,1.2,151,,,,45.7,1.36,0.731,,0.731,,,,270,,965,2920,2650
2022 Cro Race Stage 6,159.271,6.41,78,1.92,126,6.62,17.6,1.74,24.6,1.07,28.5,0.193,25.9,0.166,0.141,,-20,98,200,550,570
2022 Deutschland Tour Prologue,2.67,0.839,1.52,,2.67,,0.311,,,,,,,,,,,220,231,20,20
2022 Deutschland Tour Stage 1,171.466,1.13,126,3.29,168,0.786,3.45,0.352,40.1,,,,,0.359,,,60,192,707,2110,2050
2022 Deutschland Tour Stage 2,200.602,0.567,173,1.72,198,0.185,3.65,,23.2,0.161,0.258,,,,,,-110,178,636,2420,2530
2022 Deutschland Tour Stage 3,149.194,2.17,142,5.47,142,0.104,4.92,0.455,,0.329,0.641,,,0.351,,,960,183,1200,2080,1120
2022 Deutschland Tour Stage 4,186.61,9.89,152,8.19,176,5.85,11.1,,6.69,0.789,1.08,,1.08,,,,-110,210,832,2670,2780
2022 Districtenpijl - Ekeren-Deurne,138.3,28.8,58.5,61,75.5,,32.6,,18.4,1.76,,,,,,,10,,6,280,270
2022 Donostia San Sebastian Klasikoa,222.348,9.5,134,4.07,217,1.02,6.07,,70.9,1.14,0.898,,0.858,,,,-30,,677,4330,4360
2022 Dookola Mazowsza Stage 1,168,,168,,168,,,0.234,,,,,,,,,-10,81,94,340,350
2022 Dookola Mazowsza Stage 2,176.83,2.83,174,,177,,,,,,,,,,,,,108,151,580,580
2022 Dookola Mazowsza Stage 3,164.63,13.6,146,41.4,108,1.94,1.39,10.6,1.7,2.6,1.96,,,,,,-10,94,156,510,520
2022 Dookola Mazowsza Stage 4,166.3,56.9,40.3,19.2,147,,,,69.1,,,,,,,,,112,167,690,690
2022 Druivenkoers - Overijse,192.16,23.5,98.4,90.2,98.8,,68.8,,1.46,3.17,,,,,,,,30,109,1430,1430
2022 Egmont Cycling Race,194,42.7,76.4,88.7,93.2,,74.9,,,12.1,,,,,,,20,12,100,1250,1230
